,,,,,,,,,,,,,,lat,long
https://www.google.co.th/maps/place/Wedrink+%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B9%81%E0%B8%AA%E0%B8%99/data=!4m7!3m6!1s0x3102b5c54171a5a3:0xcb9f57e0c40dbe9c!8m2!3d13.2871531!4d100.9293897!16s%2Fg%2F11wwmt48ff!19sChIJo6VxQcW1AjERnL4NxOBXn8s?authuser=0&hl=th&rclk=1,Wedrink บางแสน,5.0,(4),ไอศกรีม,?,บ้านเลขที่ 190 ถนนลงหาดบางแสน ต.แสนสุข อ.เมืองชลบุรี,,,https://lh5.googleusercontent.com/p/AF1QipP6EvO8jDiDrlpOIEpnCBoQDXuwIeFilLWZdr5A=w92-h92-k-no,,13.2871531!4d100.9293897,,"13.2871531,100.9293897",13.2871531,100.9293897
https://www.google.co.th/maps/place/TAMA%27+CREAMERY/data=!4m7!3m6!1s0x3102b5fcd941bc1f:0x279dc0ed9d51583!8m2!3d13.2791162!4d100.9338211!16s%2Fg%2F11vhd_fmsl!19sChIJH7xB2fy1AjERgxXV2Q7ceQI?authuser=0&hl=th&rclk=1,TAMA' CREAMERY,5.0,(2),ไอศกรีม,?,แสนสุข 31/2 ซอยสันติเกษม2 ตำบลแสนสุข อำเภอเมือง,ปิดอยู่,? เปิด 10:00,https://lh5.googleusercontent.com/p/AF1QipNuCK7PIQx3QbR1kYGxaLnlaZLmGTe8lLCJIToJ=w80-h106-k-no,,13.2791162!4d100.9338211,,"13.2791162,100.9338211",13.2791162,100.9338211
https://www.google.co.th/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%84%E0%B8%AD%E0%B8%95%E0%B8%B4%E0%B8%A1%E0%B9%83%E0%B8%AA%E0%B9%88%E0%B9%84%E0%B8%82%E0%B9%88%E0%B8%8A%E0%B8%A5%E0%B8%9A%E0%B8%B8%E0%B8%A3%E0%B8%B5+%E0%B8%AA%E0%B8%B2%E0%B8%82%E0%B8%B2%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B9%81%E0%B8%AA%E0%B8%99/data=!4m7!3m6!1s0x3102b516a739d249:0xfe61910bdae4b512!8m2!3d13.28516!4d100.920672!16s%2Fg%2F11w913sx97!19sChIJSdI5pxa1AjERErXk2guRYf4?authuser=0&hl=th&rclk=1,ร้านไอติมใส่ไข่ชลบุรี สาขาบางแสน,5.0,(3),ไอศกรีม,?,193 5 ถนน ลงหาดบางแสน,ปิดอยู่,? เปิด 11:00,https://lh5.googleusercontent.com/p/AF1QipNbr37ia0Wzkk28j3D838Nq5fuVMDN02KOpA5rY=w80-h142-k-no,,13.28516!4d100.920672,,"13.28516,100.920672",13.28516,100.920672
https://www.google.co.th/maps/place/%E0%B8%9A%E0%B8%B4%E0%B8%A5+%E0%B9%84%E0%B8%AD%E0%B8%A8%E0%B8%84%E0%B8%A3%E0%B8%B5%E0%B8%A1%E0%B9%82%E0%B8%AE%E0%B8%A1%E0%B9%80%E0%B8%A1%E0%B8%94/data=!4m7!3m6!1s0x3102b75f0fffb7f3:0x15ed50ed95289cef!8m2!3d13.2133361!4d100.9468646!16s%2Fg%2F11g0ldt4t5!19sChIJ87f_D1-3AjER75wole1Q7RU?authuser=0&hl=th&rclk=1,บิล ไอศครีมโฮมเมด,4.8,(26),ไอศกรีม,?,19 ถนน เทศบาล 7,ปิดอยู่,? เปิด 10:00,https://lh5.googleusercontent.com/p/AF1QipP1P49ixXbL4tgBClYH3or9oGahQwnFDfkSmhcd=w163-h92-k-no,,13.2133361!4d100.9468646,,"13.2133361,100.9468646",13.2133361,100.9468646
https://www.google.co.th/maps/place/Jessie%27s+Ice+Cream/data=!4m7!3m6!1s0x311d355ab383aebd:0x7057bd5ca896aee1!8m2!3d13.2865489!4d100.9231143!16s%2Fg%2F11pd1f3783!19sChIJva6Ds1o1HTER4a6WqFy9V3A?authuser=0&hl=th&rclk=1,Jessie's Ice Cream,4.4,(30),ไอศกรีม,?,บางแสนสาย 3 ซอย 2,ปิดอยู่,? เปิด 10:00,https://lh5.googleusercontent.com/p/AF1QipO1924SCSBX0A79KNzNCvHoNwKwtGujz0FVdmKe=w80-h106-k-no,,13.2865489!4d100.9231143,,"13.2865489,100.9231143",13.2865489,100.9231143
https://www.google.co.th/maps/place/%E0%B9%84%E0%B8%AD%E0%B8%A8%E0%B8%84%E0%B8%A3%E0%B8%B5%E0%B8%A1+%E0%B9%82%E0%B8%AE%E0%B8%A1%E0%B9%80%E0%B8%A1%E0%B8%94+%E0%B8%A8%E0%B8%A3%E0%B8%B5%E0%B8%A3%E0%B8%B2%E0%B8%8A%E0%B8%B2+Big+Sister/data=!4m7!3m6!1s0x3102b513fc81eceb:0x13541d7c8d33aac7!8m2!3d13.2227055!4d100.9505242!16s%2Fg%2F11q1v8v3_0!19sChIJ6-yB_BO1AjERx6ozjXwdVBM?authuser=0&hl=th&rclk=1,ไอศครีม โฮมเมด ศรีราชา Big Sister,4.5,(10),ไอศกรีม,?,?,ปิดอยู่,? เปิด 12:00,https://lh5.googleusercontent.com/p/AF1QipMtr7yzBd8uTptwEUzbiFSFBfzZ6UIwv6PlgqOC=w80-h106-k-no,,13.2227055!4d100.9505242,,"13.2227055,100.9505242",13.2227055,100.9505242
https://www.google.co.th/maps/place/Wangjai+Ice+cream+%E0%B8%A7%E0%B8%B2%E0%B8%87%E0%B9%83%E0%B8%88%E0%B9%84%E0%B8%AD%E0%B8%A8%E0%B8%84%E0%B8%A3%E0%B8%B5%E0%B8%A1/data=!4m7!3m6!1s0x3102b5d4805f01d3:0xa4292a5d3ec77ccc!8m2!3d13.2964454!4d100.9214924!16s%2Fg%2F11sqchlyf8!19sChIJ0wFfgNS1AjERzHzHPl0qKaQ?authuser=0&hl=th&rclk=1,Wangjai Ice cream วางใจไอศครีม,5.0,(1),ไอศกรีม,?,"76 ถ.ข้าวหลาม, ต.แสนสุข อ.เมือง ชลบุรี, 20000",ใกล้เปิดแล้ว,? 09:00,https://lh5.googleusercontent.com/p/AF1QipM1Xk0_Umz0aJgB2kn8gwTtD2wthY8r42We5RJk=w92-h92-k-no,,13.2964454!4d100.9214924,,"13.2964454,100.9214924",13.2964454,100.9214924
https://www.google.co.th/maps/place/Monsters%E0%B9%84%E0%B8%AD%E0%B8%95%E0%B8%B4%E0%B8%A1%E0%B8%9C%E0%B8%B1%E0%B8%94+%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B9%81%E0%B8%AA%E0%B8%99/data=!4m7!3m6!1s0x3102b52fc6cba30b:0xe79e9ace765a63a8!8m2!3d13.2801513!4d100.9300145!16s%2Fg%2F11scs_36kw!19sChIJC6PLxi-1AjERqGNads6anuc?authuser=0&hl=th&rclk=1,Monstersไอติมผัด บางแสน,3.0,(2),ไอศกรีม,?,59 10 ถ ถนนบางแสนสาย 4 ใต้,ปิดอยู่,? เปิด 17:00,https://lh5.googleusercontent.com/p/AF1QipMOQJDMPqBRRzSNhEYl740-KurPIu5Dq7oRpxUi=w80-h106-k-no,,13.2801513!4d100.9300145,,"13.2801513,100.9300145",13.2801513,100.9300145
https://www.google.co.th/maps/place/Bangsaenwanmak/data=!4m7!3m6!1s0x3102b50029534169:0xc23f32d6080e9343!8m2!3d13.2856384!4d100.9231145!16s%2Fg%2F11y44v7yqr!19sChIJaUFTKQC1AjERQ5MOCNYyP8I?authuser=0&hl=th&rclk=1,Bangsaenwanmak,5.0,(1),ไอศกรีม,?,7WPF+765 ถนน ลงหาดบางแสน,ปิดอยู่,? เปิด 11:00,https://lh5.googleusercontent.com/p/AF1QipOXGe9Iy3X1ZuY0fZf_hN4IZu-AvVwdMtpNZaM3=w80-h106-k-no,,13.2856384!4d100.9231145,,"13.2856384,100.9231145",13.2856384,100.9231145
https://www.google.co.th/maps/place/%E0%B9%84%E0%B8%AD%E0%B8%A8%E0%B8%84%E0%B8%A3%E0%B8%B5%E0%B8%A1%E0%B8%9A%E0%B8%B8%E0%B8%9F%E0%B9%80%E0%B8%9F%E0%B9%88%E0%B8%95%E0%B9%8C+%E0%B8%9A%E0%B8%B2%E0%B8%87%E0%B8%9E%E0%B8%A3%E0%B8%B0%28PR+Cafe%27+@Bangphra%29/data=!4m7!3m6!1s0x3102b7af94121557:0xa39662e4092d381e!8m2!3d13.2173597!4d100.9502279!16s%2Fg%2F11ghpmkw_l!19sChIJVxUSlK-3AjERHjgtCeRilqM?authuser=0&hl=th&rclk=1,ไอศครีมบุฟเฟ่ต์ บางพระ(PR Cafe' @Bangphra),4.7,(62),ไอศกรีม,?,โรงเรียนประเสิรฐสุข 24/101 ม.6 ซอย บ้านเอื้ออาทรจังหวัดชลบุรี,ใกล้เปิดแล้ว,? 09:00,https://lh5.googleusercontent.com/p/AF1QipOZg-AEdTdxpnZwkFwkpG-3SXvhQ2aPnssEPU5f=w122-h92-k-no,,13.2173597!4d100.9502279,,"13.2173597,100.9502279",13.2173597,100.9502279
